"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
111;"Andreas Pereira";"Fulham";37;2756;3;7;5.16;6.92;0.17;0.23
112;"Kurt Zouma";"West Ham";33;2849;3;0;2.34;0.18;0.07;0.01
113;"Andrew Robertson";"Liverpool";23;1684;3;2;2.43;6.66;0.13;0.36
114;"Trent Alexander-Arnold";"Liverpool";28;2190;3;4;2.75;8.36;0.11;0.34
115;"Thiago Silva";"Chelsea";31;2530;3;1;0.79;1.4;0.03;0.05
116;"Christopher Nkunku";"Chelsea";11;416;3;0;2.41;0.23;0.52;0.05
117;"Gabriel";"Arsenal";36;3050;3;0;4.03;0.87;0.12;0.03
118;"Lewis Dunk";"Brighton";33;2895;3;1;2.96;1.17;0.09;0.04
119;"Solly March";"Brighton";7;571;3;1;2.72;0.99;0.43;0.16
120;"Jacob Murphy";"Newcastle United";21;1216;3;7;2.9;5.23;0.21;0.39
121;"Dwight McNeil";"Everton";35;2914;3;6;3.64;10.33;0.11;0.32
122;"Pedro Porro";"Tottenham";35;3101;3;7;2.84;7.29;0.08;0.21
123;"Mathias Jensen";"Brentford";32;2294;3;3;0.69;4.91;0.03;0.19
124;"Miguel Almirón";"Newcastle United";33;1967;3;1;5.13;3.08;0.23;0.14
125;"Harvey Elliott";"Liverpool";34;1268;3;6;2.58;4.26;0.18;0.3
126;"Jarrad Branthwaite";"Everton";35;3122;3;0;1.91;0.93;0.06;0.03
127;"Jack Harrison";"Everton";29;2229;3;3;4.15;4.35;0.17;0.18
128;"Dara O&#039;Shea";"Burnley";33;2899;3;4;0.91;1.64;0.03;0.05
129;"Jéremy Doku";"Manchester City";29;1616;3;8;3.77;5.48;0.21;0.3
130;"Pape Sarr";"Tottenham";34;2141;3;3;3.84;2.03;0.16;0.09
131;"Jayden Bogle";"Sheffield United";34;2817;3;0;2.6;0.73;0.08;0.02
132;"Dominik Szoboszlai";"Liverpool";33;2135;3;2;3.52;5.66;0.15;0.24
133;"Beto";"Everton";30;898;3;0;7.17;1.19;0.72;0.12
134;"Micky van de Ven";"Tottenham";27;2345;3;0;0.97;0.04;0.04;0
135;"James McAtee";"Manchester City,Sheffield United";31;1848;3;3;3.2;3.07;0.16;0.15
136;"Marcus Tavernier";"Bournemouth";30;2163;3;4;4.39;6.26;0.18;0.26
137;"Kaoru Mitoma";"Brighton";19;1482;3;4;4.68;3.39;0.28;0.21
138;"Keane Lewis-Potter";"Brentford";30;1432;3;1;8.58;1.61;0.54;0.1
139;"Wilson Odobert";"Burnley";29;2150;3;2;2.54;4.43;0.11;0.19
140;"Kobbie Mainoo";"Manchester United";24;1980;3;1;0.77;0.85;0.04;0.04
141;"Jack Hinshelwood";"Brighton";12;890;3;0;2.16;0.84;0.22;0.08
142;"Enzo Fernández";"Chelsea";28;2237;3;2;6.15;3.56;0.25;0.14
143;"Facundo Buonanotte";"Brighton";27;1408;3;1;2.97;2.3;0.19;0.15
144;"Morgan Rogers";"Aston Villa";11;652;3;1;1.09;0.9;0.15;0.12
