"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
25;"Anwar El Ghazi";"Aston Villa";28;1612;10;0;9.04;1.88;0.5;0.11
26;"Nicolas Pepe";"Arsenal";29;1602;10;1;6;1.01;0.34;0.06
27;"Tomas Soucek";"West Ham";38;3420;10;1;8.98;2.44;0.24;0.06
28;"Roberto Firmino";"Liverpool";36;2882;9;7;12.86;6.12;0.4;0.19
29;"Jesse Lingard";"West Ham";16;1434;9;4;5.25;2.33;0.33;0.15
30;"Riyad Mahrez";"Manchester City";27;1961;9;6;6.23;6.09;0.29;0.28
31;"Gabriel Jesus";"Manchester City";29;2053;9;4;9.65;3.55;0.42;0.16
32;"Phil Foden";"Manchester City";28;1606;9;5;6.08;4.75;0.34;0.27
33;"Harvey Barnes";"Leicester";25;1954;9;4;6.7;1.77;0.31;0.08
34;"Diogo Jota";"Liverpool";19;1114;9;0;7.06;1.76;0.57;0.14
35;"Che Adams";"Southampton";36;2685;9;5;12.12;5.23;0.41;0.18
36;"James Ward-Prowse";"Southampton";38;3420;8;7;5.44;4.07;0.14;0.11
37;"Jarrod Bowen";"West Ham";38;2599;8;5;7.99;5.23;0.28;0.18
38;"Neal Maupay";"Brighton";33;2526;8;2;13.77;4.28;0.49;0.15
39;"Joe Willock";"Arsenal,Newcastle United";21;1215;8;0;5.09;0.73;0.38;0.05
40;"James Maddison";"Leicester";31;2123;8;5;3.83;5.39;0.16;0.23
41;"David McGoldrick";"Sheffield United";35;2409;8;1;7.61;1.12;0.28;0.04
42;"Stuart Dallas";"Leeds";38;3412;8;2;4.46;2.08;0.12;0.05
43;"Jack Harrison";"Leeds";36;2871;8;8;6.25;7.52;0.2;0.24
44;"Bertrand Traoré";"Aston Villa";36;2362;7;6;6.3;4.57;0.24;0.17
45;"Jorginho";"Chelsea";28;2022;7;1;6.97;1.95;0.31;0.09
46;"Rodrigo";"Leeds";26;1285;7;2;5.76;3.2;0.4;0.22
47;"Richarlison";"Everton";34;2883;7;3;10.67;3.39;0.33;0.11
48;"Ferrán Torres";"Manchester City";24;1305;7;2;5.73;2.2;0.4;0.15
49;"Mason Greenwood";"Manchester United";31;1825;7;2;6.98;2.43;0.34;0.12
50;"Timo Werner";"Chelsea";35;2605;6;8;13.43;6.67;0.46;0.23
51;"Kevin De Bruyne";"Manchester City";25;2008;6;12;9.98;10.96;0.45;0.49
52;"Danny Welbeck";"Brighton";24;1551;6;1;7.38;3.23;0.43;0.19
53;"Jack Grealish";"Aston Villa";26;2187;6;10;5.19;9.33;0.21;0.38
54;"Tammy Abraham";"Chelsea";22;1027;6;1;6.19;0.72;0.54;0.06
55;"Gylfi Sigurdsson";"Everton";36;2250;6;5;6.4;4.84;0.26;0.19
56;"James Rodríguez";"Everton";23;1802;6;4;3.36;5.44;0.17;0.27
57;"Youri Tielemans";"Leicester";38;3359;6;4;4.17;3.31;0.11;0.09
58;"Mason Mount";"Chelsea";36;2891;6;5;6.88;9.85;0.21;0.31
59;"Raphinha";"Leeds";30;2369;6;9;6.22;9.52;0.24;0.36
60;"Kurt Zouma";"Chelsea";24;2024;5;0;3.14;0.08;0.14;0
61;"Pablo Fornals";"West Ham";33;2603;5;4;6.75;2.53;0.23;0.09
62;"Callum Robinson";"West Bromwich Albion";28;1580;5;0;3.2;1.05;0.18;0.06
63;"Lewis Dunk";"Brighton";33;2934;5;0;2.71;0.83;0.08;0.03
64;"Pedro Neto";"Wolverhampton Wanderers";31;2570;5;6;5.49;5.74;0.19;0.2
65;"Bobby Reid";"Fulham";33;2394;5;2;4.27;1.31;0.16;0.05
66;"Rúben Neves";"Wolverhampton Wanderers";36;2681;5;1;4.74;2.06;0.16;0.07
67;"Bukayo Saka";"Arsenal";32;2577;5;3;7.17;4.51;0.25;0.16
68;"Leandro Trossard";"Brighton";35;2647;5;5;5.41;5.4;0.18;0.18
69;"Joelinton";"Newcastle United";31;2006;4;2;5.63;2.37;0.25;0.11
70;"Olivier Giroud";"Chelsea";17;750;4;0;5.07;1.18;0.61;0.14
71;"Anthony Martial";"Manchester United";22;1494;4;3;7.41;2.62;0.45;0.16
72;"John Stones";"Manchester City";22;1933;4;0;2.5;0.05;0.12;0
73;"Sergio Agüero";"Manchester City";12;556;4;1;3.72;1.32;0.6;0.21
74;"Christian Pulisic";"Chelsea";27;1739;4;2;6.78;2.76;0.35;0.14
